Roy Eldridge,Ella Fitzgerald
Slide Hampton,Woody Herman
Buddy DeFranco,Norman Granz
Ed Shaughnessy,Norman Granz
Roy Eldridge,Norman Granz
Buddy DeFranco,Bix Beiderbecke
Buddy DeFranco,Charlie Barnet
Buddy DeFranco,Glenn Miller
Buddy DeFranco,Freddie Green
Buddy DeFranco,Gene Krupa
Roy Eldridge,Gene Krupa
Herbie Hancock,Chick Corea
Buddy DeFranco,Wardell Gray
Phil Woods,Charlie Barnet
Doc Cheatham,Sam Wooding
Doc Cheatham,Earle Warren
Doc Cheatham,Chick Webb
Doc Cheatham,Morey Feld
Doc Cheatham,Hank Jones
Doc Cheatham,Cab Calloway
Abbey Lincoln,Cab Calloway
McCoy Tyner,Alice Coltrane
McCoy Tyner,Billy Higgins
McCoy Tyner,Elvin Jones
Jimmy Owens (musician),McCoy Tyner
Jimmy Owens (musician),Elvin Jones
Delfeayo Marsalis,Elvin Jones
Roy Haynes,Sidney Bechet
Danny Barker,Sidney Bechet
Dave Brubeck,Louie Bellson
Louie Bellson,Don Abney
Louie Bellson,Cat Anderson
Jane Jarvis,Roy Eldridge
Marian McPartland,Roy Eldridge
Roy Eldridge,Charlie Christian
Roy Eldridge,Jabbo Smith
Roy Eldridge,Chu Berry
Roy Eldridge,Sid Catlett
Roy Eldridge,Herb Alpert
Roy Eldridge,George Benson
John Levy (musician),Stuff Smith
John Levy (musician),George Shearing
John Levy (musician),Dakota Staton
John Levy (musician),Tony Bennett
Roy Haynes,Art Blakey
Jimmy Owens (musician),Art Blakey
Slide Hampton,Art Blakey
Mary Lou Williams,Art Blakey
Delfeayo Marsalis,Art Blakey
Vi Redd,Art Blakey
Herbie Hancock,George Shearing
Charles McPherson (musician),Pete Candoli
Slide Hampton,Benny Golson
Jimmy Owens (musician),Eddie Daniels
Dave Brubeck,Chris Brubeck
Dave Brubeck,Gil Evans
Dave Brubeck,Jimmy Blanton
Dave Brubeck,Tal Farlow
Dave Brubeck,Tony Bennett
Slide Hampton,Dave Brubeck
Mary Lou Williams,Chu Berry
Mary Lou Williams,Lovie Austin
Mary Lou Williams,Don Byas
Mary Lou Williams,Stella Brooks
Mary Lou Williams,Mildred Bailey
Mary Lou Williams,Kenny Clarke
Jane Jarvis,Marian McPartland
Marian McPartland,Béla Fleck
Marian McPartland,Jimmy Dorsey
Marian McPartland,Tommy Flanagan
Jane Jarvis,Ethel Waters
Gerald Wiggins,Helen Humes
Bob Haggart,Howard Alden
Bob Haggart,Kenny Davern
Bob Haggart,Ray Bauduc
Slide Hampton,Kenny Clarke
Jimmy Owens (musician),Clifford Brown
Roy Haynes,Joe Benjamin
Roy Haynes,Ronnell Bright
Abbey Lincoln,Jack DeJohnette
Roy Haynes,Gary Burton
Slide Hampton,Joe Henderson
Jimmy Owens (musician),Wayne Shorter
Roy Haynes,Kenny Burrell
Gerald Wiggins,George Treadwell
Roy Haynes,Nelson Boyd
Roy Haynes,Don Braden
Buster Williams,Nelson Boyd
Gerald Wiggins,George Wein
Herbie Hancock,Philly Joe Jones
Slide Hampton,Stevie Wonder
Gerald Wiggins,Lena Horne
Herbie Hancock,Donald Byrd
Herbie Hancock,Gil Evans
Herbie Hancock,Teo Macero
Herbie Hancock,George Coleman
Buster Williams,Herbie Hancock
Jimmy Owens (musician),Donald Byrd
Benny Powell,Tony Bennett
Charles McPherson (musician),Buddy Bolden
Slide Hampton,Melba Liston
Melba Liston,Vi Redd
Melba Liston,Bardu Ali
Melba Liston,Art Farmer
Melba Liston,Buddy Collette
Toshiko Akiyoshi,Snooky Young
Jimmy Owens (musician),Randy Weston
Benny Powell,Art Farmer
Jimmy Owens (musician),Slide Hampton
Slide Hampton,Buddy Johnson
Slide Hampton,Don Sebesky
Slide Hampton,Willie Maiden
Slide Hampton,Benny Bailey
Slide Hampton,Lee Morgan
Slide Hampton,Wynton Kelly
Slide Hampton,Dennis Mackrel
Slide Hampton,Carmell Jones
Slide Hampton,Leo Wright
Slide Hampton,Nat Adderley
Slide Hampton,Bill Watrous
Jimmy Owens (musician),Jerome Richardson
Danny Barker,Chu Berry
Gerald Wiggins,Sherman Ferguson
Gerald Wiggins,Andy Simpkins
Gerald Wiggins,Paul Humphrey
Benny Powell,Ruth Brown
Danny Barker,George Benson
Toshiko Akiyoshi,Pepper Adams
Jimmy Owens (musician),Jimmy Cobb
Jimmy Owens (musician),Curtis Fuller
Jimmy Owens (musician),Hank Mobley
Jimmy Owens (musician),Garnett Brown
Jimmy Owens (musician),Charles McPherson (musician)
Jimmy Owens (musician),Roland Hanna
Charles McPherson (musician),Pepper Adams
Benny Powell,Benny Bailey
Buster Williams,Kenny Barron
Harold Ousley,Monty Alexander
Danny Barker,Black Benny
Danny Barker,Tommy Benford
Danny Barker,Bernard Addison
Abbey Lincoln,Eddie Beal
Abbey Lincoln,Oscar Brown
Delfeayo Marsalis,Brian Blade
